condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
011#11,0,0.004785563851610492,745.5698630106424,335.61061551056315,2,31,2963.0,37.37560768164262
10##1#,0,0.9873570855150493,0.0,0.0,43,93,2978.0,46.42233585745315
#00#0#,1,0.7924757801937935,0.0,0.0,33,66,2865.0,51.76184418410003
00#000,1,0.04006935105648729,792.5718652313367,260.98555712732843,1,41,2754.0,40.99459218461304
11###0,0,0.9608933959759884,1000.0,0.0,46,231,2961.0,63.031530474307
01100#,1,0.7401139050693876,0.0,0.0,7,13,2686.0,43.371259392
111##1,0,0.7366788259964909,0.0,0.0,29,39,2976.0,48.746944913350475
#11011,0,0.0014139120129903345,720.0144700231438,388.07780845045295,1,24,2963.0,32.265819029637704
0#00##,1,0.7928583286491773,0.0,0.0,18,54,2967.0,44.68464951613846
01#1##,0,0.7992909784710341,0.0,0.0,38,67,2910.0,62.08047668481133
0#1###,1,0.04490569564246138,952.1576242456878,128.7197038309808,16,305,2965.0,66.29354006375465
1#0111,0,0.02979549828648438,0.0,0.0,1,17,2641.0,45.878018449407996
001###,0,0.9861876324668587,0.0,0.0,38,60,2960.0,42.28733752440083
0#0###,0,0.006864264857982279,994.2101684178876,23.616048450119166,8,238,2982.0,25.534064026763513
#1#000,1,0.13636221253103828,0.0,0.0,4,24,2970.0,29.010154244059766
#1#1#1,0,0.4981252047106727,0.0,0.0,21,41,2976.0,54.059098409857164
##000#,0,0.04135026530499739,914.0167164775515,171.96716526431265,5,113,2982.0,36.72394313051731
11###0,1,0.935144732347331,0.0,0.0,25,39,2997.0,26.40049745003044
000###,1,0.517774790082887,0.0,0.0,7,34,2967.0,53.039571201689895
00#00#,1,0.06202264510083499,803.6117154553115,259.6978192651842,2,25,2754.0,39.18830611630888
10##0#,1,0.8470134137668242,0.0,0.0,17,25,2972.0,22.233144317555176
11###1,1,0.9972103622101318,1000.0,0.0,47,74,2994.0,49.19530750008363
01#1##,1,0.8539122153611364,1000.0,0.0,45,77,2965.0,67.77377574929532
0#0##0,0,0.002495526011839715,950.4503745332545,119.42557760071688,1,64,2949.0,24.53837555587763
