condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
11###1,0,0.8974201256776009,0.0,0.0,42,97,2927.0,50.911439414593104
01#0##,1,0.8408636045489262,0.0,0.0,42,93,2978.0,53.28315034761196
00##00,1,0.0009714191627460319,888.2841917235589,246.5374058897682,1,69,2931.0,24.319455987684744
10##0#,1,0.6486577536080708,0.0,0.0,34,73,2981.0,55.89892145698601
10##0#,0,0.9232025674758352,1000.0,0.0,54,193,2992.0,67.34731730469625
0#11##,0,0.5137144419198887,0.0,0.0,36,63,2991.0,76.23702690576081
1###00,1,0.42617468460320324,0.0,0.0,24,71,2981.0,60.57333169094629
0##0##,0,0.3285641448573474,923.8044180804504,174.88180941211263,8,300,2998.0,38.25073773014175
0#00##,0,0.49745923969027,1000.0,0.0,18,130,2998.0,59.60390129046384
0#00##,1,0.236165210446496,0.0,0.0,8,58,2978.0,57.21239750373125
00#111,0,0.004405106930277566,723.5262511644671,302.8620279021568,1,20,2952.0,46.11739867647181
000###,0,0.740254816559694,1000.0,0.0,36,127,2998.0,61.24361499597027
##00#0,0,0.3272116543329068,999.3942961815393,3.6412112629684814,10,115,2998.0,53.739810823745344
11###0,1,0.6697086379960063,0.0,0.0,31,42,2906.0,55.537710791715355
#1#1#1,0,0.13068750528749096,0.0,0.0,8,52,2962.0,68.57750591987727
01#1##,0,0.6464498064667897,0.0,0.0,42,47,2991.0,74.83819877970785
#01#1#,0,0.7652534106183906,0.0,0.0,12,27,2940.0,29.878302714578965
000###,1,0.7594650525594088,0.0,0.0,20,33,2925.0,47.969808666561484
1####0,0,0.1566778686898179,871.051418586623,158.55254375141308,18,172,2975.0,31.85648123221626
#00#0#,0,0.05227664284968321,1000.0,0.0,3,90,2998.0,66.68677581590565
100#1#,0,0.8001511724245804,0.0,0.0,7,11,2975.0,18.0124416
#1#1#1,1,0.5030247078220311,1000.0,0.0,16,62,2961.0,31.786322555263922
001###,1,0.9415816237961175,1000.0,0.0,20,58,2980.0,36.52523787332869
100#11,0,0.21682588726860558,0.0,0.0,2,4,2586.0,9.0
11###1,1,0.7228946757360942,1000.0,0.0,22,57,2999.0,27.74550070865692
100##1,0,0.0018202117400949556,973.1564544,69.79321855999994,1,15,2992.0,61.2953495552
##00#0,1,0.0003796597229867566,157.39878453018622,291.60804571799,1,21,2978.0,55.32013101757104
101##1,1,0.0017639169999968984,718.865698816,346.0511476394667,1,16,2858.0,43.732919181312
1###10,1,0.0009944356143370967,925.897504990395,151.16680642789362,1,28,2905.0,44.11687961830497
01#1##,1,0.6715594389199393,1000.0,0.0,11,41,2961.0,19.318172441808933
0##1#1,1,0.04653956889370734,1000.0,0.0,1,25,2961.0,29.264981356000906
01###1,0,0.00508410696015149,642.4904498580257,417.9551572283747,1,27,2962.0,36.03022163677154
#0##1#,1,0.3983166218358636,863.1826393298594,181.9218923841126,41,51,2980.0,51.927966628030056
#1#1#0,1,0.0011240568816120243,844.0612856524369,298.7255529868225,1,26,2906.0,21.131551926741206
00#11#,0,0.0065981017728913155,655.6800000000001,327.936,1,9,2952.0,45.55744
###000,0,0.28679310098515715,1000.0,0.0,4,18,2998.0,44.96150924427264
10###1,1,0.007191545783891277,868.9280000000001,230.46826666666664,1,10,2858.0,42.21664
1###1#,1,0.2594937807237972,973.1564544,69.79321855999994,1,32,2905.0,43.46992112685365
0##0##,1,0.0027144949174058306,379.2885645312,404.02353127424,1,17,2980.0,52.1769182470144
1#0##1,0,0.013927317194342557,754.24,320.85333333333335,1,9,2992.0,58.62848
0#0###,0,0.0002566272478146962,868.4518324944469,244.0773611780068,1,27,2998.0,55.76708944445995
1##1#0,1,0.0008544967670813699,662.9527945216,376.8055311018667,1,17,2906.0,51.0275535929344
####10,0,0.004256417505596168,495.19165439999995,403.29696597333333,1,14,2975.0,28.0215640064
#0##1#,0,0.01829447472148445,384.0,354.1333333333333,1,7,2975.0,41.328
####1#,0,0.017499186095190182,533.45798144,429.29275426133336,1,15,2975.0,31.968022732799994
#1#1##,1,0.04969605174852452,1000.0,0.0,1,8,2961.0,28.1744
00####,1,0.03853422742142096,800.0,160.0,1,11,2980.0,44.7905664
##00##,0,0.0364778348132702,1000.0,0.0,1,5,2998.0,56.0
1###0#,0,0.2807706835991889,1000.0,0.0,1,11,2992.0,44.0657408
####00,0,0.045750253266854536,872.0,153.6,1,9,2998.0,48.90752
1###1#,0,0.05224798606451219,399.2589207707992,20.893185778527787,1,0,2975.0,18.0124416
100##0,0,0.05224798606451219,399.2589207707992,20.893185778527787,1,0,2975.0,37.52575192533791
#1#0#0,1,0.07223450860653297,0.0,0.0,1,1,2978.0,57.0
01####,1,0.0671323362647748,500.0,250.0,1,2,2978.0,35.5
0##0#0,0,0.02827811107296423,1000.0,0.0,1,1,2998.0,84.0
##0###,0,0.02394452688900167,1000.0,0.0,1,3,2998.0,68.66666666666667
0#####,0,0.03930025349132743,936.0,19.2,1,0,2998.0,61.24361499597027
