condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
11###0,1,0.8845404615148026,0.0,0.0,40,96,2960.0,51.08381991593885
01#0##,0,0.8767275295389401,1000.0,0.0,40,228,2969.0,53.149195115575644
001###,0,0.9280790473064698,0.0,0.0,30,83,2976.0,43.619204116751014
#111#1,0,0.8267396437897531,0.0,0.0,22,34,2828.0,36.49179719539182
01#0##,1,0.8924549302171669,0.0,0.0,28,69,2950.0,43.6931212429526
01#10#,1,0.7585190570697583,1000.0,0.0,28,92,2979.0,42.115591919774445
11#0#1,0,0.576331880994302,0.0,0.0,9,27,2776.0,25.605608397687774
00#111,0,0.061197990157875255,924.502528,159.38355199999998,5,28,2999.0,32.97731843518255
1###00,1,0.18592168327745193,0.0,0.0,8,66,2962.0,46.95964150808994
#1#0#0,0,0.4599907971420354,1000.0,0.0,29,154,2977.0,69.30450800639842
##1111,0,0.04174970787017646,0.0,0.0,1,25,2808.0,40.34647116497128
#01000,1,0.0050017439671692174,756.9772361992057,341.14675843979546,1,24,2959.0,23.608883020931813
0#00##,1,0.16987804511921836,0.0,0.0,5,51,2982.0,41.621429820194656
111##1,0,0.2236400233005954,0.0,0.0,5,25,2828.0,31.88672480460584
#01#1#,0,0.6256482286551065,0.0,0.0,20,43,2958.0,45.586745312464686
#00#0#,1,0.3908847926895797,0.0,0.0,15,47,2991.0,47.1718104682145
000###,1,0.781436093772756,0.0,0.0,24,46,2982.0,38.22347925012034
10##0#,1,0.6459755058091117,0.0,0.0,22,57,2991.0,41.277388021155346
11###0,0,0.44681858850308087,1000.0,0.0,21,128,2977.0,58.983941307112886
1###11,0,0.7547557645390157,0.0,0.0,22,31,2932.0,35.41467616169194
11###1,1,0.952587049267438,1000.0,0.0,34,107,2997.0,39.97832827457875
#1111#,0,0.11037118891753117,415.7078535691305,399.4244284257315,5,22,2954.0,27.276253127579007
0#1##0,1,0.0014519802498147096,972.9423990983927,92.23730838530982,2,114,2975.0,21.25680127366075
01#10#,0,0.5811178153753175,0.0,0.0,6,17,2934.0,14.1375985074176
1###00,0,0.6948420399456702,1000.0,0.0,29,95,2977.0,54.694379664411315
0#0#11,0,0.3488104067840738,1000.0,0.0,1,31,2999.0,34.341288605592915
1###1#,1,0.026408580292720998,993.7578989916207,25.97927154777863,4,117,2997.0,27.32237473916087
##111#,0,0.06190007404774717,294.55208614519324,338.4587449989025,2,25,2958.0,31.29725873774823
#1#111,0,0.04504569588854335,0.0,0.0,1,12,2817.0,31.73774336
0101##,0,0.3995788103008168,0.0,0.0,6,12,2934.0,13.78447872
###11#,1,0.0005369099128670736,951.4556717401884,118.45264687261268,1,131,2985.0,22.303082530382703
00##11,1,0.005115696580772965,815.48598198272,317.9914821195093,2,18,2957.0,22.956234152673282
0##010,1,0.004647959244899408,300.2552722474926,379.3177790349225,1,22,2982.0,36.75314774090738
10##10,0,0.5191252612274263,0.0,0.0,4,10,2958.0,24.43296
0#1#0#,1,0.10582916507904208,940.1416176044169,131.00471675467827,2,56,2972.0,22.425599120884193
01#1#0,1,0.49128033987171177,1000.0,0.0,7,32,2975.0,26.755577306723417
0#11#1,1,0.6581234057167278,1000.0,0.0,15,30,2972.0,28.85170992733676
#0#101,0,0.10682015577058716,838.155325592629,168.48550227390643,1,31,2976.0,20.942972045866792
01##01,1,0.002269308593291642,594.6377773056,413.32710812330663,1,17,2979.0,41.2849862926336
11###1,0,0.15388768042655243,0.0,0.0,2,15,2828.0,28.5816547328
#0##00,1,0.0026560864364865095,654.6881443055272,411.89004166315726,1,23,2962.0,28.06827394412257
1#1101,0,0.06695461666873731,840.0,210.66666666666669,1,6,2942.0,15.400000000000002
0101##,1,0.5540109077562374,1000.0,0.0,8,19,2979.0,20.34192526003405
01011#,0,0.07806781986091463,0.0,0.0,1,1,2926.0,10.0
01010#,0,0.0733060340399927,0.0,0.0,1,4,2934.0,14.75
###11#,0,0.0011122533026633164,617.7214209554284,426.54428704962925,1,31,2999.0,23.817148826005752
#1##11,1,0.01926492630128233,918.08,131.07199999999997,1,26,2997.0,32.40145538332557
1####1,0,0.0036009909304617694,855.482183107641,275.69651071843856,4,25,2942.0,17.85067434696087
#01#1#,1,0.8248749245517545,1000.0,0.0,9,30,2985.0,21.58871094869757
#0##1#,0,0.004098320190170258,551.1529249037594,428.60244223190705,1,26,2999.0,22.326580115330454
#00#0#,0,0.6670358048393669,1000.0,0.0,5,26,2956.0,24.85463803256639
1#0##0,0,0.0010278586082081737,783.0431255822336,273.0146232532992,1,20,2930.0,48.24286648299684
001#00,1,0.3213340173279819,1000.0,0.0,1,8,2959.0,17.864
0#1###,0,0.015617429869306051,358.530342322176,381.6666963028651,2,19,2976.0,48.96380923713946
0#101#,1,0.04089536189584161,787.008,298.1888,1,10,2957.0,23.518335999999998
01###0,1,0.007684195659827022,708.3648,340.7872,1,12,2975.0,32.144064
1###10,1,0.02839597692340219,933.8273046528,143.34050697215997,3,19,2953.0,21.52276763967488
10###0,0,0.0007005213514546767,694.631211630592,368.2459816995499,1,19,2958.0,34.93213469779558
##1000,1,0.015197354592427893,590.4,377.17333333333335,1,8,2959.0,28.344
0##0##,1,0.0018409417486164236,620.6880788182009,424.8490703562585,2,26,2982.0,24.330142789968093
1###11,1,0.4229846756666419,1000.0,0.0,4,24,2997.0,28.8681500575974
0##00#,1,0.007392783294261016,642.8288,373.99210666666664,1,11,2959.0,25.6681856
#0##11,0,0.05052911232817718,744.0,296.53333333333336,1,7,2999.0,27.392000000000003
#11##1,0,0.0359452019039023,0.0,0.0,1,2,2828.0,39.0
#0##00,0,0.0005311412396903944,994.3705004657869,24.300672989353284,1,21,2956.0,32.0226615541275
0##10#,1,0.09253263365308563,1000.0,0.0,2,9,2979.0,32.747840000000004
#0####,1,0.0005595585211945155,843.0804949038951,270.9686584081147,1,53,2991.0,23.390821714014777
#1#1##,0,0.011369621120057197,433.47200000000004,398.93333333333334,1,10,2954.0,24.605888
####11,0,0.004684243411375019,795.2,300.37333333333333,1,8,2999.0,34.815999999999995
#111##,0,0.024829870140315864,500.0,250.0,1,2,2954.0,22.0
#0##0#,0,0.012320081744467531,907.08488372224,164.05734883328,2,22,2976.0,28.913648913999985
01#1##,0,0.10320324943930816,0.0,0.0,2,3,2934.0,13.666666666666666
10####,1,0.005765184184599946,777.250873966592,330.64628288225276,1,20,2991.0,24.996144528949248
#0##0#,1,0.005403356082543847,673.4861312,392.4203656533333,3,14,2991.0,26.778117427199998
#01###,1,0.019478804144597264,977.4600116305921,72.12796278210551,1,25,2985.0,21.274467114956032
#0##1#,1,0.0008397296718074875,893.5034513267863,216.33133820955365,1,25,2985.0,21.473221154900873
####0#,0,0.00022791431947792563,939.2408233145385,137.22138637718427,1,29,2977.0,45.38362824865648
0#11##,1,0.09017298335481785,1000.0,0.0,1,14,2975.0,24.6690030592
0011##,1,0.06872975898586306,1000.0,0.0,1,7,2972.0,24.328
0#0#0#,0,0.011154644530918443,840.0,237.33333333333331,1,6,2969.0,22.919999999999998
00####,0,0.060756789482778704,819.5712000000001,245.35039999999995,5,11,2999.0,22.6816512
1####1,1,0.001559647937613687,813.1564544,232.0301806933333,1,14,2997.0,34.1423461376
##110#,1,0.021501594640808926,840.0,210.66666666666669,1,6,2972.0,33.32
01#1#1,1,0.06868470442550625,1000.0,0.0,1,3,2979.0,23.666666666666668
0#0#1#,0,0.23731230267891185,1000.0,0.0,2,4,2999.0,31.0
