condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
10011#,0,0.29561874694044715,0.0,0.0,3,24,2698.0,32.82141193019086
01#0##,0,0.9894151015868444,1000.0,0.0,56,268,2974.0,62.523078741714684
11###1,1,0.9986993616472738,1000.0,0.0,40,280,2981.0,43.93309405085863
01#0##,1,0.4144965906634711,0.0,0.0,17,74,2961.0,56.061596298825904
##1111,0,0.158236787142544,0.0,0.0,4,26,2884.0,39.81323756849363
0#11##,0,0.35954360308951705,0.0,0.0,16,69,2996.0,48.59174523075171
1#11#0,1,0.0038288859226974234,729.5816689699374,359.69987678001013,1,44,2935.0,33.0369738680179
001###,0,0.7758346249741558,0.0,0.0,25,70,2991.0,43.807706930938444
#00101,1,0.7334817387119067,0.0,0.0,14,19,2994.0,25.513112451612674
110##0,1,0.6193660939427831,0.0,0.0,14,31,2985.0,28.15247013706025
##0000,1,0.266617674936999,0.0,0.0,8,28,2985.0,44.33123014416411
#1#1#1,0,0.3100954716276933,0.0,0.0,12,52,2920.0,44.92295951235407
0#00##,1,0.6772249423274412,0.0,0.0,28,61,2961.0,55.46729896746105
111##0,1,0.5650673845513539,0.0,0.0,8,21,2806.0,29.949224619861607
01#1##,0,0.6873136030853585,0.0,0.0,23,57,2996.0,36.034941921651836
##0#00,1,0.0008187047969007454,376.92730157553655,399.9402421559162,1,54,2985.0,33.89918744366089
11###1,0,0.8617544401781586,0.0,0.0,28,46,2995.0,35.90020932377099
#01###,1,0.02542456821278584,946.1459624701513,130.05980455707012,14,248,2962.0,31.21508960573675
10#00#,1,0.24428535339096497,0.0,0.0,23,21,2949.0,41.41496078153024
0#1###,1,0.046096840914152226,998.780338546812,7.464485375203267,1,234,2982.0,32.69948620991396
1##111,0,0.22040509136764727,0.0,0.0,6,20,2884.0,33.17522923850301
0#001#,0,0.07793762615221084,1000.0,0.0,3,76,2943.0,44.44432279988811
10#11#,0,0.39484411805918745,0.0,0.0,7,21,2884.0,33.90958264141217
#1#0#0,1,0.32444769554391445,0.0,0.0,14,33,2985.0,48.485363386303
10##01,1,0.14317369287946619,0.0,0.0,2,17,2949.0,40.9599644254208
