condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
001###,0,0.9986599080915334,0.0,0.0,47,97,2993.0,49.79389773271838
1110#1,0,0.8583478084299522,0.0,0.0,17,25,2988.0,26.655431817139153
#00#0#,1,0.6668050178314823,0.0,0.0,39,102,2968.0,68.10867258933476
#010#0,1,0.2682876016694642,983.9473897551059,54.15497350358347,9,100,2914.0,40.77535474595268
10##1#,0,0.9973008829006551,0.0,0.0,42,93,2949.0,53.67967031229496
11###0,1,0.7084244973871271,0.0,0.0,19,60,2950.0,35.64680827445774
1#1100,1,0.15744521083281587,0.0,0.0,2,14,2894.0,20.569478451200002
000###,0,0.9497530386979616,1000.0,0.0,63,244,2970.0,69.55112006659313
10#10#,1,0.6678312235899885,0.0,0.0,6,31,2973.0,31.99490487000798
01#1##,0,0.7811106909293786,0.0,0.0,28,70,2964.0,53.12970103861288
#1#1#1,0,0.858629764289003,0.0,0.0,45,84,2998.0,56.86600901804151
#1#0#0,1,0.5813391849049032,0.0,0.0,24,66,2950.0,53.86664326589913
1##000,1,0.24608087904054135,0.0,0.0,2,19,2817.0,43.644926368907264
#11001,1,0.0010506742234179542,819.776612076541,308.0198410108265,1,26,2995.0,27.129934581606513
0#00##,0,0.3051366661234821,1000.0,0.0,13,150,2991.0,55.138747991755864
000###,1,0.5052073482169438,0.0,0.0,23,49,2968.0,62.44738412294488
#1###0,0,0.008508400989148943,950.1430166126149,123.18805946227921,3,177,2991.0,32.446238676101
01#0##,0,0.6726326941821144,1000.0,0.0,17,79,2991.0,34.82015299451717
1#0000,1,0.031094515856847686,0.0,0.0,1,7,2817.0,49.495999999999995
#1#01#,0,0.029088910753217685,947.3893768264203,106.17766201800751,3,65,2987.0,29.852187004162673
10#1##,1,0.002029543767254488,628.3099831728166,389.7791111331498,1,58,2973.0,16.08579672974642
##0#00,0,0.02299863875699632,878.61684528889,219.45226575999627,3,78,2991.0,43.231935427799215
#1#1#1,1,0.5510813689158776,1000.0,0.0,16,78,2954.0,42.56232418704804
01#1##,1,0.8099983429105396,1000.0,0.0,19,76,2999.0,35.52697835120381
#01###,1,0.015586844089315518,825.5494773040957,269.6074932810342,3,134,2973.0,19.014738459080874
#1#011,0,0.008556336187567388,825.78615189504,263.963479638016,2,18,2925.0,29.258527873925118
1###0#,0,0.0037918640240892166,654.3117391784033,303.09141327548525,2,130,2998.0,33.18301471466593
111##1,0,0.070246686962069,0.0,0.0,2,16,2988.0,36.644548808703995
01#0##,1,0.3049099344829343,0.0,0.0,25,25,2955.0,50.23911188461214
10##0#,0,0.8934330076791354,1000.0,0.0,18,52,2975.0,31.43865789387732
##11#1,1,0.025304696521273873,792.6388606484732,260.5447858993092,4,64,2973.0,29.023613604537324
#00#0#,0,0.0962133893174595,1000.0,0.0,3,52,2975.0,45.52664465118391
1####0,0,0.08301845446408855,986.6065533082401,50.98760810829897,12,99,2987.0,28.37192693708911
##1100,0,0.001461103482937086,916.7828038219745,193.22545847862938,1,26,2963.0,27.550184729501332
#10011,1,0.01605976203693655,544.0,381.8666666666667,1,7,2955.0,21.936
1#1#1#,0,0.001155218127960118,504.55553581356315,443.5162644907784,1,29,2987.0,37.110284879996
11###1,1,0.841627956515901,1000.0,0.0,16,45,2995.0,21.60002596028557
#10#0#,1,0.0003678651417033364,750.2360364683101,370.3999378794829,1,22,2985.0,27.729051920734356
##1#11,0,0.0010444601503046887,227.07110464716797,320.117190688768,1,19,2949.0,42.839085266468864
#010##,1,0.0004308741882229326,892.8989884169789,218.4522046478938,1,31,2914.0,30.51453433103227
11##1#,0,0.003059591217039184,726.8060186967223,355.23223402194526,1,33,2987.0,30.044438599324575
0#1###,1,0.002031079461607793,880.7732808149951,225.71097336209533,3,69,2999.0,32.32449150189729
01##01,1,0.0020387789756709986,782.125568,295.3510911999999,1,13,2930.0,66.869501952
#0#11#,1,0.08536012308355267,801.718589831112,245.0713810417746,1,27,2953.0,18.92628183154499
1###1#,1,0.04511519517629374,910.3431447808181,159.05064609688884,2,55,2953.0,17.231127743156488
1#0#1#,1,0.0014888770513013364,845.0776094107326,225.11973722683666,1,28,2950.0,20.87297544257165
10#0##,0,0.0033865238825760958,623.25549056,406.71951803733333,1,15,2949.0,42.205041541119996
1###10,0,0.005671007524424171,865.4070900710702,270.4837040563955,2,23,2987.0,28.99857837460805
#1#0#0,0,0.32476125109206677,1000.0,0.0,6,25,2991.0,32.73975797258968
100#1#,1,0.9084870384706029,1000.0,0.0,8,15,2932.0,12.87338338304
##100#,1,0.000730560228246923,721.2774950072484,385.4725617706598,1,22,2995.0,30.768359738314064
10#00#,1,0.3579785085433377,0.0,0.0,5,5,2921.0,25.8
1##0#1,0,0.007381052428978152,331.072,338.03946666666667,1,10,2988.0,32.763135999999996
0##1##,1,0.00244848077295535,829.1214616435863,268.5324636664493,2,34,2999.0,29.951354398219785
110###,1,0.0004145712960532253,790.0006539395072,340.72585190069594,1,20,2985.0,29.004121517162496
011#0#,1,0.004289052690415663,746.0660224000001,340.64498688,1,14,2999.0,50.0604058624
#1#1##,0,0.001424451070071757,438.4735788111628,441.5503512605955,1,30,2998.0,38.42621054799328
01###0,0,0.000795364686520995,723.1452399861761,389.31923223620265,1,19,2991.0,38.33301308512665
