condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
01#1##,0,0.9798122597922403,0.0,0.0,32,91,2936.0,56.270258557676314
1###00,1,0.815513116753161,0.0,0.0,34,83,2997.0,57.937153732412085
11###1,0,0.7178364889573472,0.0,0.0,23,85,2956.0,49.799458066998625
10##0#,0,0.9326609388344105,1000.0,0.0,50,233,2989.0,55.24551756088271
1###11,0,0.5990921884135104,0.0,0.0,35,73,2956.0,66.46318533599045
01#1##,1,0.9999143351471597,1000.0,0.0,54,214,2972.0,56.202727332311845
1####1,1,0.4774490713368793,869.0175002118774,210.9286495616305,22,362,2990.0,30.164106600673342
#0101#,0,0.06499542471413196,0.0,0.0,2,26,2894.0,43.31725599439272
110110,1,0.11511020915352044,0.0,0.0,1,6,1978.0,30.880000000000003
001###,0,0.9687446945553212,0.0,0.0,36,61,2996.0,36.66597859570943
11#00#,1,0.007658442958399066,697.3734067988912,370.9640364719245,2,48,2914.0,41.21773637607811
000###,1,0.9547790798270145,0.0,0.0,42,61,2973.0,43.1385197600679
01#0##,0,0.9695836686141168,1000.0,0.0,30,131,2988.0,48.01588832750704
#00#0#,0,0.1309500387180808,1000.0,0.0,6,114,2989.0,50.674337513625034
#01###,1,0.6014206874142297,977.337275295012,66.10066376901307,15,206,2976.0,27.02528863300639
0#000#,1,0.14280789194889126,0.0,0.0,8,21,2986.0,45.543282947256486
01#0##,1,0.9568884752163045,0.0,0.0,40,40,2986.0,45.13185749770993
10##1#,0,0.7685963316844998,0.0,0.0,17,35,2939.0,30.085709928554415
#1###0,0,0.21692919573684566,888.1138572876887,177.93601600158846,22,187,2988.0,39.30596761278109
11###0,1,0.4529658779116829,0.0,0.0,17,30,2911.0,49.74962087302946
1101#0,1,0.03008214936156916,0.0,0.0,1,3,2365.0,48.0
000###,0,0.9047934222876309,1000.0,0.0,35,71,2999.0,38.994614185103885
10##0#,1,0.5934439433911676,0.0,0.0,6,23,2997.0,44.02774699016286
0#11##,0,0.05746088292491532,0.0,0.0,2,18,2869.0,38.97574629965824
#011##,1,0.06499443948027846,896.8448565760359,148.00887749419638,4,36,2976.0,34.24181556462692
1##00#,1,0.006712691782497712,417.7889567149916,410.2359846553125,4,22,2990.0,42.09899169271906
1#0#1#,1,0.11769995960895704,991.1227773393773,32.291985256381544,2,40,2974.0,27.54989904034199
100###,1,0.0024103800578188913,543.2869948017869,388.5851142940262,1,29,2997.0,34.15181203509199
##110#,1,0.10403244187466615,865.6512,214.95807999999997,1,17,2972.0,42.1298875523072
1###0#,1,0.0029397370712758845,425.3023772076388,434.721350124538,1,25,2997.0,40.219232883778815
01###0,1,0.008636461984104235,567.1424000000001,395.21962666666667,1,11,2986.0,52.091558400000004
1#110#,1,0.047705690924699104,600.0,303.33333333333337,1,5,2947.0,37.2
#1#0#1,0,0.001370449514740739,904.711318700032,213.33292253620903,1,19,2941.0,38.60374993066394
#0##10,1,0.0339303440676554,971.8250145382401,84.52495638527992,1,19,2967.0,29.530124851249152
##1#0#,1,0.05006353695546677,928.4800972128256,173.682528920535,4,22,2972.0,40.215666082181805
#011#1,1,0.5230056306958548,1000.0,0.0,5,7,2976.0,35.864
10##1#,1,0.7350992365491978,1000.0,0.0,17,25,2967.0,35.10137558607009
00#0##,0,0.006368372973269735,697.6589824,330.79205888,2,14,2996.0,39.61596416
#1#1#0,0,0.058743105494109514,635.2,378.4533333333333,2,8,2936.0,38.888
1###10,1,0.004225960822519034,958.0569600000001,112.54715733333326,2,12,2967.0,31.792130559999997
1####1,0,0.0010430312520964687,633.140011630592,375.80140619584853,1,19,2957.0,49.88941509849907
##11##,0,0.00378436521827041,629.6064,384.57002666666665,1,11,2873.0,42.544064
#1#0#0,0,0.5001378657770726,1000.0,0.0,4,12,2988.0,39.695329279999996
01####,0,0.005931532309749386,830.0569600000001,235.38892799999996,1,12,2988.0,49.654599680000004
0###0#,0,0.0020902320074979008,726.09636352,297.2152572586666,1,15,2996.0,44.7791396864
1##0#1,1,0.188564241015628,790.08,251.90399999999997,2,12,2990.0,34.04383488
10####,1,0.0069521558173838375,576.58212352,349.079994368,1,17,2997.0,37.24513649131519
#1###0,1,0.015276813987100171,333.33333333333337,277.77777777777777,1,3,2986.0,49.333333333333336
#1#1##,0,0.032556628362965655,250.0,229.16666666666669,1,4,2956.0,37.0
0#0###,0,0.033330553444609994,1000.0,0.0,1,11,2999.0,42.1834112
###1##,0,0.00792956814858966,836.1600000000001,268.97066666666666,1,9,2999.0,43.22784
1##0##,1,0.02100749035857232,750.0,270.8333333333333,1,4,2990.0,34.25
1#0#11,1,0.3736900004112724,1000.0,0.0,1,2,2974.0,25.0
10####,0,0.0792310061655687,1000.0,0.0,1,1,2989.0,59.0
0#1###,0,0.027678419844437748,0.0,0.0,1,0,2996.0,36.66597859570943
